PIN Code,District,Division / Sub-Division,Post Office / Area,Company Name,CIN / LLPIN,Address,Zauba URL
721501,West Midnapore,Midnapore,Aguibil B.O,BELPAHARI FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC266387,"C/O. BADAL MAHATA JHARGRA, PO.BAMANDIHA Binpur-II,Binpur-II,West Midnapore,West Bengal,721501-India  West Midnapore West Bengal 721501 India",https://www.zaubacorp.com/BELPAHARI-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC266387
743702,North 24 Parganas,Barasat,Rajibpur S.O,HABRA MAHILA KRISHAN PRODUCER COMPANY LIMITED,U01611WB2023PTC266433,"Vill- Maligram,P.O. Prithiba,Guma,North 24 Parganas,West Bengal,743704-India  North 24 Parganas West Bengal 743704 India",https://www.zaubacorp.com/HABRA-MAHILA-KRISHAN-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC266433
742223,Murshidabad,Murshidabad,Ahiran B.O,MALIA KAIYOR SONAR KRISHI FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC266672,"C/O SADAM H0SSAIN VILL-,MALIADANGA,BAZAR PARA,Murshidabad,Murshidabad,West Bengal,742226-India  Murshidabad West Bengal 742226 India",https://www.zaubacorp.com/MALIA-KAIYOR-SONAR-KRISHI-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC266672
743411,North 24 Parganas,Barasat,Basirhat Bazar S.O,GOSABA KRISHI SAMANYA FARMER PRODUCER COMPANY LIMITED,U01611WB2023PTC266691,"01, C/O-NITYANANDA PATRA,VILL-PALPUR, P.O.-PALPUR,Baruipur,South 24 Parganas,West Bengal,743611-India  South 24 Parganas West Bengal 743611 India",https://www.zaubacorp.com/GOSABA-KRISHI-SAMANYA-FARMER-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC266691
700150,South 24 Parganas,South Presidency,Hadia B.O,SANTIGACHHI AGRO FARMER PRODUCER COMPANY LIMITED,U01611WB2023PTC266813,"C/O BINAY MISTRI,CHANDPUR,Sonarpur,South 24 Parganas,West Bengal,700150-India  South 24 Parganas West Bengal 700150 India",https://www.zaubacorp.com/SANTIGACHHI-AGRO-FARMER-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC266813
742223,Murshidabad,Murshidabad,Ahiran B.O,SANKOBAZAR AGRI FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC266876,"C/O KHODABOX SARKAR,VILL- BAHALNAGAR, BOKHARA,Murshidabad,Murshidabad,West Bengal,742226-India  Murshidabad West Bengal 742226 India",https://www.zaubacorp.com/SANKOBAZAR-AGRI-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC266876
742223,Murshidabad,Murshidabad,Ahiran B.O,DHAMUA SABUJ MAHILA PRODUCER COMPANY LIMITED,U01611WB2023PTC267145,"Dhamua, Pundi,Sagardighi,Murshidabad,Murshidabad,West Bengal,742226-India  Murshidabad West Bengal 742226 India",https://www.zaubacorp.com/DHAMUA-SABUJ-MAHILA-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC267145
733134,North Dinajpur,West Dinajpur,Baharail B.O,HEMTABAD FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC267149,"VILL - BAHALA, P.O - BHOGRAM,, P.S - HEMTABAD,Raiganj,North Dinajpur,West Bengal,733134-India  North Dinajpur West Bengal 733134 India",https://www.zaubacorp.com/HEMTABAD-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC267149
743502,South 24 Parganas,South Presidency,Bamunia B.O,TARUN BHANGAR AGRO PRODUCER COMPANY LIMITED,U01611WB2024PTC267231,"C/O LAYEB GHARAMI VILL-,RANIGACHI PO- SHANKSWAR,Bhangar - I,South 24 Parganas,West Bengal,743502-India  South 24 Parganas West Bengal 743502 India",https://www.zaubacorp.com/TARUN-BHANGAR-AGRO-PRODUCER-COMPANY-LIMITED-U01611WB2024PTC267231
742223,Murshidabad,Murshidabad,Ahiran B.O,CORNFIELD AGRO FARMERS PRODUCER COMPANY LIMITED,U01611WB2024PTC267264,"C/O DILDAR HOSSAIN,SUTI,Murshidabad,Murshidabad,West Bengal,742224-India  Murshidabad West Bengal 742224 India",https://www.zaubacorp.com/CORNFIELD-AGRO-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2024PTC267264
